Date,Value
2011-01-01,306.22009569378
2011-01-02,387.55980861244
2011-01-03,296.650717703349
2011-01-04,287.081339712919
2011-01-05,253.588516746411
2011-01-06,282.296650717703
2011-01-07,291.866028708134
2011-01-08,363.636363636364
2011-01-09,334.928229665072
2011-01-10,330.143540669856
2011-01-11,267.942583732057
2011-01-12,267.942583732057
2011-01-13,248.803827751196
2011-01-14,253.588516746411
2011-01-15,272.727272727273
2011-01-16,339.712918660287
2011-01-17,282.296650717703
2011-01-18,234.44976076555
2011-01-19,306.22009569378
2011-01-20,282.296650717703
2011-01-21,277.511961722488
2011-01-22,277.511961722488
2011-01-23,387.55980861244
2011-01-24,330.143540669856
2011-01-25,325.358851674641
2011-01-26,287.081339712919
2011-01-27,377.99043062201
2011-01-28,306.22009569378
2011-01-29,397.129186602871
2011-01-30,306.22009569378
2011-01-31,311.004784688995
2011-02-01,291.866028708134
2011-02-02,267.942583732057
2011-02-03,282.296650717703
2011-02-04,306.22009569378
2011-02-05,325.358851674641
2011-02-06,339.712918660287
2011-02-07,296.650717703349
2011-02-08,296.650717703349
2011-02-09,301.435406698565
2011-02-10,315.789473684211
2011-02-11,287.081339712919
2011-02-12,315.789473684211
2011-02-13,311.004784688995
2011-02-14,411.483253588517
2011-02-15,301.435406698565
2011-02-16,325.358851674641
2011-02-17,291.866028708134
2011-02-18,330.143540669856
2011-02-19,330.143540669856
2011-02-20,382.775119617225
2011-02-21,306.22009569378
2011-02-22,287.081339712919
2011-02-23,296.650717703349
2011-02-24,272.727272727273
2011-02-25,258.373205741627
2011-02-26,296.650717703349
2011-02-27,358.851674641148
2011-02-28,258.373205741627
2011-03-01,244.019138755981
2011-03-02,267.942583732057
2011-03-03,244.019138755981
2011-03-04,291.866028708134
2011-03-05,296.650717703349
2011-03-06,287.081339712919
2011-03-07,320.574162679426
2011-03-08,311.004784688995
2011-03-09,277.511961722488
2011-03-10,330.143540669856
2011-03-11,258.373205741627
2011-03-12,325.358851674641
2011-03-13,339.712918660287
2011-03-14,291.866028708134
2011-03-15,263.157894736842
2011-03-16,315.789473684211
2011-03-17,282.296650717703
2011-03-18,291.866028708134
2011-03-19,306.22009569378
2011-03-20,344.497607655502
2011-03-21,358.851674641148
2011-03-22,248.803827751196
2011-03-23,301.435406698565
2011-03-24,244.019138755981
2011-03-25,306.22009569378
2011-03-26,315.789473684211
2011-03-27,325.358851674641
2011-03-28,287.081339712919
2011-03-29,277.511961722488
2011-03-30,287.081339712919
2011-03-31,296.650717703349
2011-04-01,354.066985645933
2011-04-02,330.143540669856
2011-04-03,397.129186602871
2011-04-04,311.004784688995
2011-04-05,344.497607655502
2011-04-06,397.129186602871
2011-04-07,459.33014354067
2011-04-08,354.066985645933
2011-04-09,296.650717703349
2011-04-10,421.052631578947
2011-04-11,344.497607655502
2011-04-12,296.650717703349
2011-04-13,334.928229665072
2011-04-14,277.511961722488
2011-04-15,392.344497607656
2011-04-16,387.55980861244
2011-04-17,306.22009569378
2011-04-18,306.22009569378
2011-04-19,277.511961722488
2011-04-20,239.234449760766
2011-04-21,325.358851674641
2011-04-22,287.081339712919
2011-04-23,306.22009569378
2011-04-24,306.22009569378
2011-04-25,354.066985645933
2011-04-26,368.421052631579
2011-04-27,334.928229665072
2011-04-28,301.435406698565
2011-04-29,301.435406698565
2011-04-30,291.866028708134
2011-05-01,287.081339712919
2011-05-02,277.511961722488
2011-05-03,296.650717703349
2011-05-04,248.803827751196
2011-05-05,354.066985645933
2011-05-06,272.727272727273
2011-05-07,315.789473684211
2011-05-08,382.775119617225
2011-05-09,296.650717703349
2011-05-10,315.789473684211
2011-05-11,373.205741626794
2011-05-12,421.052631578947
2011-05-13,459.33014354067
2011-05-14,444.976076555024
2011-05-15,358.851674641148
2011-05-16,315.789473684211
2011-05-17,301.435406698565
2011-05-18,253.588516746411
2011-05-19,330.143540669856
2011-05-20,339.712918660287
2011-05-21,377.99043062201
2011-05-22,492.822966507177
2011-05-23,339.712918660287
2011-05-24,459.33014354067
2011-05-25,454.545454545455
2011-05-26,306.22009569378
2011-05-27,330.143540669856
2011-05-28,358.851674641148
2011-05-29,330.143540669856
2011-05-30,368.421052631579
2011-05-31,253.588516746411
2011-06-01,334.928229665072
2011-06-02,277.511961722488
2011-06-03,325.358851674641
2011-06-04,425.837320574163
2011-06-05,382.775119617225
2011-06-06,315.789473684211
2011-06-07,267.942583732057
2011-06-08,272.727272727273
2011-06-09,301.435406698565
2011-06-10,291.866028708134
2011-06-11,368.421052631579
2011-06-12,334.928229665072
2011-06-13,291.866028708134
2011-06-14,272.727272727273
2011-06-15,291.866028708134
2011-06-16,306.22009569378
2011-06-17,291.866028708134
2011-06-18,277.511961722488
2011-06-19,377.99043062201
2011-06-20,315.789473684211
2011-06-21,382.775119617225
2011-06-22,296.650717703349
2011-06-23,397.129186602871
2011-06-24,454.545454545455
2011-06-25,421.052631578947
2011-06-26,421.052631578947
2011-06-27,320.574162679426
2011-06-28,330.143540669856
2011-06-29,291.866028708134
2011-06-30,416.267942583732
2011-07-01,387.55980861244
2011-07-02,377.99043062201
2011-07-03,325.358851674641
2011-07-04,267.942583732057
2011-07-05,301.435406698565
2011-07-06,325.358851674641
2011-07-07,291.866028708134
2011-07-08,296.650717703349
2011-07-09,287.081339712919
2011-07-10,392.344497607656
2011-07-11,344.497607655502
2011-07-12,272.727272727273
2011-07-13,258.373205741627
2011-07-14,368.421052631579
2011-07-15,349.282296650718
2011-07-16,459.33014354067
2011-07-17,349.282296650718
2011-07-18,282.296650717703
2011-07-19,320.574162679426
2011-07-20,325.358851674641
2011-07-21,306.22009569378
2011-07-22,406.698564593301
2011-07-23,354.066985645933
2011-07-24,406.698564593301
2011-07-25,425.837320574163
2011-07-26,421.052631578947
2011-07-27,421.052631578947
2011-07-28,425.837320574163
2011-07-29,416.267942583732
2011-07-30,387.55980861244
2011-07-31,425.837320574163
2011-08-01,296.650717703349
2011-08-02,377.99043062201
2011-08-03,387.55980861244
2011-08-04,435.406698564593
2011-08-05,363.636363636364
2011-08-06,435.406698564593
2011-08-07,397.129186602871
2011-08-08,425.837320574163
2011-08-09,411.483253588517
2011-08-10,459.33014354067
2011-08-11,483.253588516746
