,item1,item2,support,confidence,lift
0,"('Advantus Push Pins, Aluminum Head',)","('#10 White Business Envelopes,4 1/8 x 9 1/2',)",0.003778337531486146,0.2727272727272727,16.657342657342657
1,"('#10 White Business Envelopes,4 1/8 x 9 1/2',)","('Advantus Push Pins, Aluminum Head',)",0.003778337531486146,0.23076923076923078,16.657342657342657
2,"('Global Leather and Oak Executive Chair, Black',)","('12 Colored Short Pencils',)",0.003778337531486146,0.21428571428571427,13.08791208791209
3,"('12 Colored Short Pencils',)","('Global Leather and Oak Executive Chair, Black',)",0.003778337531486146,0.23076923076923078,13.08791208791209
4,"('Hoover WindTunnel™ Plus Canister Vacuum',)","('12-1/2 Diameter Round Wall Clock',)",0.003778337531486146,0.23076923076923078,15.269230769230768
5,"('12-1/2 Diameter Round Wall Clock',)","('Hoover WindTunnel™ Plus Canister Vacuum',)",0.003778337531486146,0.25,15.269230769230768
6,"('LX 677',)","('1726 Digital Answering Machine',)",0.003778337531486146,0.3333333333333333,14.703703703703704
7,"(""O'Sullivan Elevations Bookcase, Cherry Finish"",)","('1726 Digital Answering Machine',)",0.003778337531486146,0.21428571428571427,9.452380952380953
8,"('Southworth 25% Cotton Premium Laser Paper and Envelopes',)","('1726 Digital Answering Machine',)",0.003778337531486146,0.23076923076923078,10.17948717948718
9,"('Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""',)","('1726 Digital Answering Machine',)",0.003778337531486146,0.25,11.027777777777777
10,"('GBC Standard Plastic Binding Systems Combs',)","('3M Organizer Strips',)",0.003778337531486146,0.23076923076923078,15.269230769230768
11,"('3M Organizer Strips',)","('GBC Standard Plastic Binding Systems Combs',)",0.003778337531486146,0.25,15.269230769230768
12,"('Accessory8',)","('6120',)",0.003778337531486146,0.3,21.654545454545456
13,"('6120',)","('Accessory8',)",0.003778337531486146,0.2727272727272727,21.654545454545456
14,"('Durable Pressboard Binders',)","('80 Minute CD-R Spindle, 100/Pack - Staples',)",0.003778337531486146,0.21428571428571427,8.507142857142856
15,"('Eldon Expressions Mahogany Wood Desk Collection',)","('80 Minute CD-R Spindle, 100/Pack - Staples',)",0.003778337531486146,0.25,9.924999999999999
16,"('Xerox 220',)","('80 Minute CD-R Spindle, 100/Pack - Staples',)",0.003778337531486146,0.3,11.91
17,"('8860',)","('Bevis 36 x 72 Conference Tables',)",0.003778337531486146,0.25,9.022727272727273
18,"('Ibico Covers for Plastic or Wire Binding Elements',)","('8860',)",0.003778337531486146,0.3,19.849999999999998
19,"('8860',)","('Ibico Covers for Plastic or Wire Binding Elements',)",0.003778337531486146,0.25,19.849999999999998
